id,lat,lon,generation,fuel
752,31.847697,-83.941996,43162,water
753,31.844708,-83.940734,532,naturalgas
754,34.3564,-82.8219,451360,water
757,34.883889,-84.282222,31844,water
758,34.959153,-84.08765,27442,water
759,34.162279,-84.077367,180168,water
761,34.61423,-84.674764,408703,water
762,36.71979,-97.085758,3,naturalgas
765,21.356395,-158.128853,2643695,petroleum
766,21.388997,-157.961518,1044924,petroleum
768,19.6306,-155.9817,3021,petroleum
769,19.7052,-155.0625,1164,petroleum
771,19.7264,-155.0908,16746,water
772,19.7041,-155.0607,170674,petroleum
774,19.7203,-155.1189,6795,water
776,39.580413,-121.119479,13202,water
785,41.2114,-101.6681,39257,water
788,44.326335,-72.035894,5741,water
789,60.555,-145.7531,7570,petroleum
790,43.420221,-112.101852,123525,water
791,29.87056,-98.194733,3,water
792,21.106,-157.0647,31830,petroleum
794,33.068473,-96.963806,3,water
805,44.099461,-70.220851,152599,water
808,43.3121,-75.109,26453,water
809,42.7778,-112.8764,264207,water
810,42.913786,-115.070986,301557,water
811,44.8367,-116.8975,1917445,water
812,42.944869,-115.977858,366278,water
813,44.5256,-116.0483,43078,water
814,42.66701,-114.78012,16963,water
815,42.865783,-114.906172,39714,water
816,42.841608,-114.903611,197065,water
817,45.183368,-113.885307,1,petroleum
818,42.5975,-114.4033,42929,water
819,43.2435,-116.3791,110848,water
820,42.740542,-114.836722,55450,water
821,42.5892,-114.3553,59763,water
822,42.767422,-114.924692,100252,water
823,42.864267,-114.885542,55588,water
825,44.07863,-111.497326,32826,water
827,42.53675,-111.793967,56069,water
829,42.267774,-111.748531,21691,water
831,42.64455,-111.696689,14510,water
833,48.084444,-116.053056,1194480,water
835,47.703333,-116.953889,83872,water
839,39.272108,-120.932508,2885,water
840,46.5143,-116.2977,1744669,water
841,43.491398,-112.04541,42551,water
843,43.468398,-112.062602,3,water
844,43.552695,-112.050953,45755,water
846,39.0096,-121.0591,2158,water
850,43.334849,-111.205752,513643,water
851,48.180245,-116.99859,160597,water
856,40.5958,-89.6631,3713711,petroleum
861,39.0586,-89.4031,5250486,petroleum
862,37.6577,-89.511161,84335,naturalgas
869,41.39,-88.27,15128940,nuclear
874,41.4931,-88.1153,1126329,naturalgas
876,39.590556,-89.496389,6195907,naturalgas
879,40.5408,-89.6786,8511424,naturalgas
880,41.726111,-90.310278,15386504,nuclear
883,42.3833,-87.8133,2787020,naturalgas
884,41.6334,-88.0629,4072414,petroleum
886,41.8508,-87.6533,1011,petroleum
887,37.2094,-88.858889,7171322,naturalgas
889,38.205,-89.8544,11701588,petroleum
891,40.2797,-90.08,2522610,petroleum
